enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-170984,R-HSA-9006934,R-HSA-162582,ARMS-mediated activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9717264,R-HSA-5663202,R-HSA-1643685,ASP-3026- resistant ALK mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-380994,R-HSA-2262752,R-HSA-8953897,ATF4 activates genes in response to endoplasmic reticulum  stress,Cellular responses to stress,Cellular responses to stimuli
R-HSA-381183,R-HSA-2262752,R-HSA-8953897,ATF6 (ATF6-alpha) activates chaperone genes,Cellular responses to stress,Cellular responses to stimuli
R-HSA-381033,R-HSA-2262752,R-HSA-8953897,ATF6 (ATF6-alpha) activates chaperones,Cellular responses to stress,Cellular responses to stimuli
R-HSA-1296025,R-HSA-1296071,R-HSA-112316,ATP sensitive Potassium channels,Potassium Channels,Neuronal System
R-HSA-450408,R-HSA-450531,R-HSA-8953854,AUF1 (hnRNP D0) binds and destabilizes mRNA,Regulation of mRNA stability by proteins that bind AU-rich elements,Metabolism of RNA
R-HSA-8854518,R-HSA-69278,R-HSA-1640170,AURKA Activation by TPX2,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-5467340,R-HSA-5663202,R-HSA-1643685,AXIN missense mutants destabilize the destruction complex,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-2161541,R-HSA-2161522,R-HSA-1430728,Abacavir metabolism,Abacavir transport and metabolism,Metabolism
R-HSA-2161517,R-HSA-2161522,R-HSA-1430728,Abacavir transmembrane transport,Abacavir transport and metabolism,Metabolism
R-HSA-2161522,R-HSA-2161522,R-HSA-1430728,Abacavir transport and metabolism,Abacavir transport and metabolism,Metabolism
R-HSA-73930,R-HSA-73884,R-HSA-73894,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Base Excision Repair,DNA Repair
R-HSA-9659787,R-HSA-9675126,R-HSA-1643685,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,Diseases of mitotic cell cycle,Disease
R-HSA-9687139,R-HSA-9675126,R-HSA-1643685,Aberrant regulation of mitotic cell cycle due to RB1 defects,Diseases of mitotic cell cycle,Disease
R-HSA-9687136,R-HSA-9675126,R-HSA-1643685,Aberrant regulation of mitotic exit in cancer due to RB1 defects,Diseases of mitotic cell cycle,Disease
R-HSA-2978092,R-HSA-5668914,R-HSA-1643685,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Diseases of metabolism,Disease
R-HSA-167242,R-HSA-5663205,R-HSA-1643685,Abortive elongation of HIV-1 transcript in the absence of Tat,Infectious disease,Disease
R-HSA-156582,R-HSA-211859,R-HSA-1430728,Acetylation,Biological oxidations,Metabolism
R-HSA-264642,R-HSA-112315,R-HSA-112316,Acetylcholine Neurotransmitter Release Cycle,Transmission across Chemical Synapses,Neuronal System
R-HSA-181431,R-HSA-112315,R-HSA-112316,Acetylcholine binding and downstream events,Transmission across Chemical Synapses,Neuronal System
R-HSA-9667769,R-HSA-9659379,R-HSA-9709957,Acetylcholine inhibits contraction of outer hair cells,Sensory processing of sound,Sensory Perception
R-HSA-399997,R-HSA-163685,R-HSA-1430728,Acetylcholine regulates insulin secretion,Integration of energy metabolism,Metabolism
R-HSA-1300645,R-HSA-1187000,R-HSA-1474165,Acrosome Reaction and Sperm:Oocyte Membrane Binding,Fertilization,Reproduction
R-HSA-2122948,R-HSA-157118,R-HSA-162582,Activated NOTCH1 Transmits Signal to the Nucleus,Signaling by NOTCH,Signal Transduction
R-HSA-9032845,R-HSA-9006934,R-HSA-162582,Activated NTRK2 signals through CDK5,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9028731,R-HSA-9006934,R-HSA-162582,Activated NTRK2 signals through FRS2 and FRS3,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9032500,R-HSA-9006934,R-HSA-162582,Activated NTRK2 signals through FYN,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9028335,R-HSA-9006934,R-HSA-162582,Activated NTRK2 signals through PI3K,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9026527,R-HSA-9006934,R-HSA-162582,Activated NTRK2 signals through PLCG1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9026519,R-HSA-9006934,R-HSA-162582,Activated NTRK2 signals through RAS,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9603381,R-HSA-9006934,R-HSA-162582,Activated NTRK3 signals through PI3K,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9034793,R-HSA-9006934,R-HSA-162582,Activated NTRK3 signals through PLCG1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9034864,R-HSA-9006934,R-HSA-162582,Activated NTRK3 signals through RAS,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5625886,R-HSA-9716542,R-HSA-162582,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signal Transduction
R-HSA-2033519,R-HSA-5663202,R-HSA-1643685,Activated point mutants of FGFR2,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-111452,R-HSA-109581,R-HSA-5357801,Activation and oligomerization of BAK protein,Apoptosis,Programmed Cell Death
R-HSA-165158,R-HSA-9006934,R-HSA-162582,Activation of AKT2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-165158,R-HSA-9006934,R-HSA-162582,Activation of AKT2,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-399710,R-HSA-112315,R-HSA-112316,Activation of AMPA receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-9619483,R-HSA-112315,R-HSA-112316,Activation of AMPK downstream of NMDARs,Transmission across Chemical Synapses,Neuronal System
R-HSA-176814,R-HSA-69278,R-HSA-1640170,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-176187,R-HSA-69620,R-HSA-1640170,Activation of ATR in response to replication stress,Cell Cycle Checkpoints,Cell Cycle
R-HSA-111447,R-HSA-109581,R-HSA-5357801,Activation of BAD and translocation to mitochondria,Apoptosis,Programmed Cell Death
R-HSA-114452,R-HSA-109581,R-HSA-5357801,Activation of BH3-only proteins,Apoptosis,Programmed Cell Death
R-HSA-111446,R-HSA-109581,R-HSA-5357801,Activation of BIM and translocation to mitochondria,Apoptosis,Programmed Cell Death
R-HSA-139910,R-HSA-109581,R-HSA-5357801,Activation of BMF and translocation to mitochondria,Apoptosis,Programmed Cell Death
R-HSA-174577,R-HSA-168249,R-HSA-168256,Activation of C3 and C5,Innate Immune System,Immune System
R-HSA-451308,R-HSA-112315,R-HSA-112316,Activation of Ca-permeable Kainate Receptor,Transmission across Chemical Synapses,Neuronal System
R-HSA-1296041,R-HSA-1296071,R-HSA-112316,Activation of G protein gated Potassium channels,Potassium Channels,Neuronal System
R-HSA-991365,R-HSA-112315,R-HSA-112316,Activation of GABAB receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-5619507,R-HSA-5619507,R-HSA-1266738,Activation of HOX genes during differentiation,Activation of HOX genes during differentiation,Developmental Biology
R-HSA-936964,R-HSA-168249,R-HSA-168256,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,Innate Immune System,Immune System
R-HSA-1592389,R-HSA-1474228,R-HSA-1474244,Activation of Matrix Metalloproteinases,Degradation of the extracellular matrix,Extracellular matrix organization
R-HSA-1169091,R-HSA-1280218,R-HSA-168256,Activation of NF-kappaB in B cells,Adaptive Immune System,Immune System
R-HSA-2980767,R-HSA-69278,R-HSA-1640170,"Activation of NIMA Kinases NEK9, NEK6, NEK7","Cell Cycle, Mitotic",Cell Cycle
R-HSA-442755,R-HSA-112315,R-HSA-112316,Activation of NMDA receptors and postsynaptic events,Transmission across Chemical Synapses,Neuronal System
R-HSA-111448,R-HSA-109581,R-HSA-5357801,Activation of NOXA and translocation to mitochondria,Apoptosis,Programmed Cell Death
R-HSA-451307,R-HSA-112315,R-HSA-112316,Activation of Na-permeable kainate receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-2151209,R-HSA-1592230,R-HSA-1852241,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,Mitochondrial biogenesis,Organelle biogenesis and maintenance
R-HSA-139915,R-HSA-109581,R-HSA-5357801,Activation of PUMA and translocation to mitochondria,Apoptosis,Programmed Cell Death
R-HSA-428540,R-HSA-9675108,R-HSA-1266738,Activation of RAC1,Nervous system development,Developmental Biology
R-HSA-9619229,R-HSA-112315,R-HSA-112316,Activation of RAC1 downstream of NMDARs,Transmission across Chemical Synapses,Neuronal System
R-HSA-1169092,R-HSA-1280218,R-HSA-168256,Activation of RAS in B cells,Adaptive Immune System,Immune System
R-HSA-5635838,R-HSA-5358351,R-HSA-162582,Activation of SMO,Signaling by Hedgehog,Signal Transduction
R-HSA-187015,R-HSA-9006934,R-HSA-162582,Activation of TRKA receptors,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5617472,R-HSA-5619507,R-HSA-1266738,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Activation of HOX genes during differentiation,Developmental Biology
R-HSA-111459,R-HSA-109581,R-HSA-5357801,Activation of caspases through apoptosome-mediated cleavage,Apoptosis,Programmed Cell Death
R-HSA-2426168,R-HSA-556833,R-HSA-1430728,Activation of gene expression by SREBF (SREBP),Metabolism of lipids,Metabolism
R-HSA-451326,R-HSA-112315,R-HSA-112316,Activation of kainate receptors upon glutamate binding,Transmission across Chemical Synapses,Neuronal System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-1280215,R-HSA-168256,Activation of the AP-1 family of transcription factors,Cytokine Signaling in Immune system,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-450341,R-HSA-168249,R-HSA-168256,Activation of the AP-1 family of transcription factors,Innate Immune System,Immune System
R-HSA-8866907,R-HSA-73857,R-HSA-74160,Activation of the TFAP2 (AP-2) family of transcription factors,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-72662,R-HSA-72766,R-HSA-392499,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Translation,Metabolism of proteins
R-HSA-2485179,R-HSA-2187338,R-HSA-9709957,Activation of the phototransduction cascade,Visual phototransduction,Sensory Perception
R-HSA-68962,R-HSA-69002,R-HSA-69306,Activation of the pre-replicative complex,DNA Replication Pre-Initiation,DNA Replication
R-HSA-68962,R-HSA-69278,R-HSA-1640170,Activation of the pre-replicative complex,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-75108,R-HSA-109581,R-HSA-5357801,"Activation, myristolyation of BID and translocation to mitochondria",Apoptosis,Programmed Cell Death
R-HSA-114294,R-HSA-109581,R-HSA-5357801,"Activation, translocation and oligomerization of BAX",Apoptosis,Programmed Cell Death
R-HSA-1482798,R-HSA-556833,R-HSA-1430728,Acyl chain remodeling of CL,Metabolism of lipids,Metabolism
R-HSA-1482883,R-HSA-556833,R-HSA-1430728,Acyl chain remodeling of DAG and TAG,Metabolism of lipids,Metabolism
R-HSA-1482788,R-HSA-556833,R-HSA-1430728,Acyl chain remodelling of PC,Metabolism of lipids,Metabolism
R-HSA-1482839,R-HSA-556833,R-HSA-1430728,Acyl chain remodelling of PE,Metabolism of lipids,Metabolism
R-HSA-1482925,R-HSA-556833,R-HSA-1430728,Acyl chain remodelling of PG,Metabolism of lipids,Metabolism
R-HSA-1482922,R-HSA-556833,R-HSA-1430728,Acyl chain remodelling of PI,Metabolism of lipids,Metabolism
R-HSA-1482801,R-HSA-556833,R-HSA-1430728,Acyl chain remodelling of PS,Metabolism of lipids,Metabolism
R-HSA-1280218,R-HSA-1280218,R-HSA-168256,Adaptive Immune System,Adaptive Immune System,Immune System
R-HSA-417973,R-HSA-372790,R-HSA-162582,Adenosine P1 receptors,Signaling by GPCR,Signal Transduction
R-HSA-170660,R-HSA-372790,R-HSA-162582,Adenylate cyclase activating pathway,Signaling by GPCR,Signal Transduction
R-HSA-170670,R-HSA-372790,R-HSA-162582,Adenylate cyclase inhibitory pathway,Signaling by GPCR,Signal Transduction
R-HSA-170670,R-HSA-112315,R-HSA-112316,Adenylate cyclase inhibitory pathway,Transmission across Chemical Synapses,Neuronal System
R-HSA-418990,R-HSA-446728,R-HSA-1500931,Adherens junctions interactions,Cell junction organization,Cell-Cell communication
R-HSA-392023,R-HSA-76002,R-HSA-109582,Adrenaline signalling through Alpha-2 adrenergic receptor,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-400042,R-HSA-163685,R-HSA-1430728,"Adrenaline,noradrenaline inhibits insulin secretion",Integration of energy metabolism,Metabolism
R-HSA-390696,R-HSA-372790,R-HSA-162582,Adrenoceptors,Signaling by GPCR,Signal Transduction
R-HSA-879415,R-HSA-168249,R-HSA-168256,Advanced glycosylation endproduct receptor signaling,Innate Immune System,Immune System
R-HSA-5423646,R-HSA-211859,R-HSA-1430728,Aflatoxin activation and detoxification,Biological oxidations,Metabolism
R-HSA-9646399,R-HSA-1632852,R-HSA-9612973,Aggrephagy,Macroautophagy,Autophagy
R-HSA-351143,R-HSA-71291,R-HSA-1430728,Agmatine biosynthesis,Metabolism of amino acids and derivatives,Metabolism
R-HSA-8964540,R-HSA-71291,R-HSA-1430728,Alanine metabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-1462054,R-HSA-168249,R-HSA-168256,Alpha-defensins,Innate Immune System,Immune System
R-HSA-389599,R-HSA-556833,R-HSA-1430728,Alpha-oxidation of phytanate,Metabolism of lipids,Metabolism
R-HSA-9645460,R-HSA-168249,R-HSA-168256,Alpha-protein kinase 1 signaling pathway,Innate Immune System,Immune System
R-HSA-9006821,R-HSA-9675126,R-HSA-1643685,Alternative Lengthening of Telomeres (ALT),Diseases of mitotic cell cycle,Disease
R-HSA-173736,R-HSA-168249,R-HSA-168256,Alternative complement activation,Innate Immune System,Immune System
R-HSA-140179,R-HSA-211859,R-HSA-1430728,Amine Oxidase reactions,Biological oxidations,Metabolism
R-HSA-375280,R-HSA-372790,R-HSA-162582,Amine ligand-binding receptors,Signaling by GPCR,Signal Transduction
R-HSA-156587,R-HSA-211859,R-HSA-1430728,Amino Acid conjugation,Biological oxidations,Metabolism
R-HSA-352230,R-HSA-425407,R-HSA-382551,Amino acid transport across the plasma membrane,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-9639288,R-HSA-2262752,R-HSA-8953897,Amino acids regulate mTORC1,Cellular responses to stress,Cellular responses to stimuli
R-HSA-141444,R-HSA-69620,R-HSA-1640170,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Cell Cycle Checkpoints,Cell Cycle
R-HSA-141424,R-HSA-69620,R-HSA-1640170,Amplification of signal from the kinetochores,Cell Cycle Checkpoints,Cell Cycle
R-HSA-977225,R-HSA-977225,R-HSA-392499,Amyloid fiber formation,Amyloid fiber formation,Metabolism of proteins
R-HSA-2214320,R-HSA-1474290,R-HSA-1474244,Anchoring fibril formation,Collagen formation,Extracellular matrix organization
R-HSA-5620912,R-HSA-5617833,R-HSA-1852241,Anchoring of the basal body to the plasma membrane,Cilium Assembly,Organelle biogenesis and maintenance
R-HSA-193048,R-HSA-556833,R-HSA-1430728,Androgen biosynthesis,Metabolism of lipids,Metabolism
R-HSA-2473224,R-HSA-9006936,R-HSA-162582,Antagonism of Activin by Follistatin,Signaling by TGFB family members,Signal Transduction
R-HSA-9662851,R-HSA-5663205,R-HSA-1643685,Anti-inflammatory response favouring Leishmania parasite infection,Infectious disease,Disease
R-HSA-983170,R-HSA-1280218,R-HSA-168256,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Adaptive Immune System,Immune System
R-HSA-983695,R-HSA-1280218,R-HSA-168256,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Adaptive Immune System,Immune System
R-HSA-1236975,R-HSA-1280218,R-HSA-168256,Antigen processing-Cross presentation,Adaptive Immune System,Immune System
R-HSA-983168,R-HSA-1280218,R-HSA-168256,Antigen processing: Ubiquitination & Proteasome degradation,Adaptive Immune System,Immune System
R-HSA-9639775,R-HSA-5663205,R-HSA-1643685,Antimicrobial action and antimicrobial resistance in Mtb,Infectious disease,Disease
R-HSA-6803157,R-HSA-168249,R-HSA-168256,Antimicrobial peptides,Innate Immune System,Immune System
R-HSA-1169410,R-HSA-1280215,R-HSA-168256,Antiviral mechanism by IFN-stimulated genes,Cytokine Signaling in Immune system,Immune System
R-HSA-109581,R-HSA-109581,R-HSA-5357801,Apoptosis,Apoptosis,Programmed Cell Death
R-HSA-140342,R-HSA-109581,R-HSA-5357801,Apoptosis induced DNA fragmentation,Apoptosis,Programmed Cell Death
R-HSA-351906,R-HSA-109581,R-HSA-5357801,Apoptotic cleavage of cell adhesion  proteins,Apoptosis,Programmed Cell Death
R-HSA-111465,R-HSA-109581,R-HSA-5357801,Apoptotic cleavage of cellular proteins,Apoptosis,Programmed Cell Death
R-HSA-75153,R-HSA-109581,R-HSA-5357801,Apoptotic execution phase,Apoptosis,Programmed Cell Death
R-HSA-111471,R-HSA-109581,R-HSA-5357801,Apoptotic factor-mediated response,Apoptosis,Programmed Cell Death
R-HSA-445717,R-HSA-445717,R-HSA-382551,Aquaporin-mediated transport,Aquaporin-mediated transport,Transport of small molecules
R-HSA-426048,R-HSA-372790,R-HSA-162582,Arachidonate production from DAG,Signaling by GPCR,Signal Transduction
R-HSA-426048,R-HSA-76002,R-HSA-109582,Arachidonate production from DAG,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-2142753,R-HSA-556833,R-HSA-1430728,Arachidonic acid metabolism,Metabolism of lipids,Metabolism
R-HSA-211957,R-HSA-211859,R-HSA-1430728,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Biological oxidations,Metabolism
R-HSA-8937144,R-HSA-211859,R-HSA-1430728,Aryl hydrocarbon receptor signalling,Biological oxidations,Metabolism
R-HSA-446203,R-HSA-597592,R-HSA-392499,Asparagine N-linked glycosylation,Post-translational protein modification,Metabolism of proteins
R-HSA-8963693,R-HSA-71291,R-HSA-1430728,Aspartate and asparagine metabolism,Metabolism of amino acids and derivatives,Metabolism
R-HSA-175474,R-HSA-5663205,R-HSA-1643685,Assembly Of The HIV Virion,Infectious disease,Disease
R-HSA-9609736,R-HSA-112315,R-HSA-112316,Assembly and cell surface presentation of NMDA receptors,Transmission across Chemical Synapses,Neuronal System
R-HSA-168316,R-HSA-5663205,R-HSA-1643685,Assembly of Viral Components at the Budding Site,Infectious disease,Disease
R-HSA-8963889,R-HSA-174824,R-HSA-382551,Assembly of active LPL and LIPC lipase complexes,"Plasma lipoprotein assembly, remodeling, and clearance",Transport of small molecules
R-HSA-2022090,R-HSA-1474290,R-HSA-1474244,Assembly of collagen fibrils and other multimeric structures,Collagen formation,Extracellular matrix organization
R-HSA-68616,R-HSA-69002,R-HSA-69306,Assembly of the ORC complex at the origin of replication,DNA Replication Pre-Initiation,DNA Replication
R-HSA-9683439,R-HSA-5663205,R-HSA-1643685,Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),Infectious disease,Disease
R-HSA-9694271,R-HSA-5663205,R-HSA-1643685,Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC),Infectious disease,Disease
R-HSA-68867,R-HSA-69002,R-HSA-69306,Assembly of the pre-replicative complex,DNA Replication Pre-Initiation,DNA Replication
R-HSA-390471,R-HSA-391251,R-HSA-392499,Association of TriC/CCT with target proteins during biosynthesis,Protein folding,Metabolism of proteins
R-HSA-210455,R-HSA-112315,R-HSA-112316,Astrocytic Glutamate-Glutamine Uptake And Metabolism,Transmission across Chemical Synapses,Neuronal System
R-HSA-4608870,R-HSA-195721,R-HSA-162582,Asymmetric localization of PCP proteins,Signaling by WNT,Signal Transduction
R-HSA-9678110,R-HSA-5663205,R-HSA-1643685,Attachment and Entry,Infectious disease,Disease
R-HSA-9694614,R-HSA-5663205,R-HSA-1643685,Attachment and Entry,Infectious disease,Disease
R-HSA-162791,R-HSA-597592,R-HSA-392499,Attachment of GPI anchor to uPAR,Post-translational protein modification,Metabolism of proteins
R-HSA-3371568,R-HSA-2262752,R-HSA-8953897,Attenuation phase,Cellular responses to stress,Cellular responses to stimuli
R-HSA-174084,R-HSA-69278,R-HSA-1640170,Autodegradation of Cdh1 by Cdh1:APC/C,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-349425,R-HSA-69620,R-HSA-1640170,Autodegradation of the E3 ubiquitin ligase COP1,Cell Cycle Checkpoints,Cell Cycle
R-HSA-177539,R-HSA-5663205,R-HSA-1643685,Autointegration results in viral DNA circles,Infectious disease,Disease
R-HSA-9612973,R-HSA-9612973,R-HSA-9612973,Autophagy,Autophagy,Autophagy
R-HSA-422475,R-HSA-9675108,R-HSA-1266738,Axon guidance,Nervous system development,Developmental Biology
R-HSA-193634,R-HSA-73887,R-HSA-162582,Axonal growth inhibition (RHOA activation),Death Receptor Signalling,Signal Transduction
R-HSA-209563,R-HSA-73887,R-HSA-162582,Axonal growth stimulation,Death Receptor Signalling,Signal Transduction
R-HSA-5250924,R-HSA-212165,R-HSA-74160,B-WICH complex positively regulates rRNA expression,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-5620922,R-HSA-5617833,R-HSA-1852241,BBSome-mediated cargo-targeting to cilium,Cilium Assembly,Organelle biogenesis and maintenance
R-HSA-9024909,R-HSA-9006934,R-HSA-162582,BDNF activates NTRK2 (TRKB) signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-111453,R-HSA-109581,R-HSA-5357801,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Apoptosis,Programmed Cell Death
R-HSA-1368108,R-HSA-1368108,R-HSA-400253,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","BMAL1:CLOCK,NPAS2 activates circadian gene expression",Circadian Clock
R-HSA-73884,R-HSA-73884,R-HSA-73894,Base Excision Repair,Base Excision Repair,DNA Repair
R-HSA-73929,R-HSA-73884,R-HSA-73894,"Base-Excision Repair, AP Site Formation",Base Excision Repair,DNA Repair
R-HSA-210991,R-HSA-202733,R-HSA-109582,Basigin interactions,Cell surface interactions at the vascular wall,Hemostasis
R-HSA-1461957,R-HSA-168249,R-HSA-168256,Beta defensins,Innate Immune System,Immune System
R-HSA-77352,R-HSA-556833,R-HSA-1430728,Beta oxidation of butanoyl-CoA to acetyl-CoA,Metabolism of lipids,Metabolism
